baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
G4P62_000001	126.837071717383	-0.0280395586362395	0.131803157501801	-0.212738140479346	0.831531215842187	0.977532626995873
G4P62_000002	12.187754500691	0.0815954325016623	0.240703283306877	0.338987617371363	0.734619058388865	0.961963367793855
G4P62_000003	84.8074065750584	-0.0317583881425631	0.203909966231554	-0.155747110989657	0.876232361051997	0.984940300241774
G4P62_000004	9.79931015215025	0.133830146996659	0.351714903055768	0.380507467366086	0.703568754523032	0.956424114825508
G4P62_000005	32.5707821933323	-0.0892223165809286	0.191657004038505	-0.465531207839414	0.641551093634894	0.945808623220658
G4P62_000006	43.2634110377398	0.213824644752816	0.268766200048116	0.795578628244681	0.426276992677821	0.888226155886933
G4P62_000007	152.451923103378	-0.151941642839575	0.130654431576076	-1.16292758696902	0.244858883549256	0.799409078723372
G4P62_000008	2.14694062029492	-0.229134911736845	0.583876496619835	-0.392437292926412	0.694735135669794	NA
G4P62_000009	23.1801322669873	-0.115210860327938	0.215089224124576	-0.535642177318979	0.592205873178706	0.934957473610147
G4P62_000010	122.560097742459	0.0975997247247448	0.125729261728934	0.776268971778146	0.437590189488768	0.890500963442216
G4P62_000011	1.47517643062141	0.34322975714151	0.831850851885375	0.41260973209751	0.679892569792885	NA
G4P62_000012	37.1330264116334	-0.0356785926468551	0.150467653943794	-0.237118023121319	0.812565230604341	0.974835822830378
G4P62_000013	112.946688458887	0.14545178824861	0.116873150730104	1.24452697082243	0.213305679320103	0.775108749892494
G4P62_000014	16.045753082651	0.312878580367301	0.287920507003898	1.0866839032173	0.277176530246755	0.819169757589962
G4P62_000015	75.8597325730188	-0.134980903271831	0.156151421675209	-0.864423146608216	0.387355482068243	0.871765404733847
G4P62_000016	3.665557086672	0.0136697565290923	0.545738252264215	0.0250481920084908	0.980016523987432	0.998390336796062
G4P62_000017	14.0183082518153	0.250190500544564	0.262938433064887	0.951517424167591	0.341341777681823	0.851871638825967
G4P62_000018	529.529838821952	0.0584151809008112	0.102247522991078	0.571311452756743	0.567788539693551	0.929219224997123
G4P62_000019	3.26008252537884	-0.0545106348236417	0.71184171248946	-0.0765769044820463	0.938960132545191	0.994482393903933
G4P62_000020	265.674217621279	-0.223795919568362	0.141149617587421	-1.58552267723824	0.112847628719636	0.68471754797521
G4P62_000021	506.496059608525	-0.0201217563011454	0.0938456572342738	-0.214413291932241	0.83022477722359	0.977118353852951
G4P62_000022	3.32921843069655	0.0816172326113608	0.541317926468227	0.150775041099902	0.880153175474211	0.985758990865725
G4P62_000023	14.7867276721038	-0.371796051397373	0.25662507465242	-1.44879081633369	0.147396009241076	0.718834988135031
G4P62_000024	28.1532077152044	-0.432839179587493	0.242626933086828	-1.78397004026175	0.0744285335421295	0.627780532047459
G4P62_000025	5.78219085389583	0.0774237152775585	0.410689980566798	0.188521071711331	0.850468198816182	0.979975003992402
G4P62_000026	1.70026061446901	-0.0649110494547753	0.867997405716839	-0.0747825385505251	0.940387735128082	NA
G4P62_000027	21.4472705229439	-0.409162041509073	0.236178465467222	-1.73242738578915	0.0831974955098001	0.644725868320646
G4P62_000028	41.206837001233	-0.269401182204285	0.226376138530289	-1.19005997696281	0.234022819482157	0.789962186618005
G4P62_000029	31.9993796135357	-0.0106886507486122	0.184332621946017	-0.0579856708800161	0.953760042302556	0.995295324718568
G4P62_000030	98.3416029270752	-0.313675229947911	0.192346589605796	-1.63078134419109	0.102936465280274	0.674554481516178
G4P62_000031	38.7703536926823	0.348850025089086	0.270575461319522	1.28928921857082	0.197297557760039	0.764494398657537
G4P62_000032	22.2065546470059	0.327620745228776	0.397414923309104	0.824379574125748	0.409723917142879	0.883774014782461
G4P62_000033	5.82285415966918	-0.135119606520143	0.4850338959078	-0.278577657479483	0.780568960926345	0.969563016026457
G4P62_000034	30.9560159113834	-0.0566120000213539	0.203303975407598	-0.278459877175811	0.78065936084348	0.969563016026457
G4P62_000035	4.35757751204106	-0.334161349844907	0.413437634355132	-0.808250923663786	0.418946147943669	0.886199325898556
G4P62_000036	100.842185101077	0.0781612633074694	0.135607778058254	0.576377435178485	0.564360093036512	0.928238693610959
G4P62_000037	6.95464938954522	0.0508938928783597	0.425958854453958	0.119480772253464	0.904894472426116	0.989490503071318
G4P62_000038	64.582025944045	-0.0235962866834206	0.132733179408333	-0.177772330841486	0.85890177798501	0.981494163627705
