Sample	command
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1.fq.gz --in2 Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_2.fq.gz --out1 Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1.fq.gz --in2 Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_2.fq.gz --out1 Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1.fq.gz --in2 Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_2.fq.gz --out1 Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1.fq.gz --in2 Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_2.fq.gz --out1 Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1.fq.gz --in2 Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_2.fq.gz --out1 Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1.fq.gz --in2 Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_2.fq.gz --out1 Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1.fq.gz --in2 Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_2.fq.gz --out1 Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1.fq.gz --in2 Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_2.fq.gz --out1 Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1.fq.gz --in2 Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_2.fq.gz --out1 Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1	/home1/alanxu/fastp --in1 Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1.fq.gz --in2 Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_2.fq.gz --out1 Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1_trimmed.fq.gz --out2 Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
