Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4	50.2	8406765.0							
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1			33.2576	0.969241	4086745765.0	33492882.0	0.545978	97.16915964816012	56.04117935163894
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4	47.49	7761288.0							
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1			32.0676	0.967443	3845317558.0	32688618.0	0.544431	94.8832955786927	59.204480956561575
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4	46.82	8458437.0							
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1			32.1368	0.968742	4309461712.0	36134278.0	0.552268	97.29089457500409	58.03708312435185
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4	48.69	7446398.0							
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1			33.1937	0.968335	3714845862.0	30589390.0	0.550767	95.79689100789672	57.26758080248392
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4	51.54	9777719.0							
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1			31.5207	0.969237	4508856494.0	37940356.0	0.534652	97.5277337070576	57.782105448237786
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4	48.83	8456976.0							
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1			31.7552	0.970118	4023404773.0	34635642.0	0.538124	97.02641607618496	60.32006610280054
