Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4	16746441.0	251.0	8406765.0	50.2	246.9	4120011.0	3669504.0	4077209.0	38078.0	2280.0	2444.0	0.41	0.01	1.66	0.01	1.28	7757167.0	46.32	3.0	0.0	0.0	3.41	0.07	0	570789	11717
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4	16344309.0	243.0	7761288.0	47.49	240.17	3705158.0	3338674.0	3662660.0	38496.0	2021.0	1981.0	0.45	0.01	1.76	0.01	1.33	7841939.0	47.98	5.0	0.0	0.0	4.45	0.08	0	727990	13087
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4	18067139.0	246.0	8458437.0	46.82	242.02	4016788.0	3600056.0	3975576.0	36644.0	2320.0	2248.0	0.43	0.01	1.66	0.01	1.28	9040822.0	50.04	5.0	0.0	0.0	3.09	0.05	0	558832	9043
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4	15294695.0	250.0	7446398.0	48.69	245.86	3427678.0	3055738.0	3392624.0	31514.0	1721.0	1819.0	0.42	0.01	1.66	0.01	1.3	7330267.0	47.93	2.0	0.0	0.0	3.33	0.05	0	510365	7663
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4	18970178.0	245.0	9777719.0	51.54	241.47	4512708.0	4033938.0	4468229.0	39695.0	2232.0	2552.0	0.42	0.01	1.66	0.01	1.3	8538972.0	45.01	9.0	0.0	0.0	3.38	0.07	0	640219	13259
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4	17317821.0	239.0	8456976.0	48.83	236.62	3978240.0	3580325.0	3934852.0	39301.0	2008.0	2079.0	0.43	0.01	1.65	0.01	1.28	8290952.0	47.88	6.0	0.0	0.0	3.24	0.05	0	561226	8661
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4	12115345.0	247.0	5678797.0	46.87	242.81	2890089.0	2577391.0	2861923.0	25129.0	1345.0	1692.0	0.42	0.01	1.65	0.01	1.28	6053402.0	49.96	5.0	0.0	0.0	3.11	0.05	0	377079	6062
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4	15666387.0	258.0	6830690.0	43.6	253.02	3590150.0	3208418.0	3553394.0	32852.0	1943.0	1961.0	0.42	0.01	1.64	0.01	1.29	8416050.0	53.72	1.0	0.0	0.0	2.63	0.05	0	411817	7829
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4	20623360.0	259.0	8130134.0	39.42	250.48	4434248.0	3939808.0	4393120.0	36422.0	2330.0	2376.0	0.41	0.01	1.67	0.01	1.3	11922328.0	57.81	2.0	0.0	0.0	2.72	0.05	0	560591	10305
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4	18570822.0	257.0	7983918.0	42.99	249.35	3901861.0	3465407.0	3860826.0	36730.0	2366.0	1939.0	0.42	0.01	1.7	0.02	1.29	10045162.0	54.09	2.0	0.0	0.0	2.85	0.07	0	528753	12987
