Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_1	62.36946040271752	53.0	150.0	150	36.36363636363637	17234317.0
Heart_10_CKDL190139952-1a-D705-AK1681_H3WF3BBXX_L4_2	61.05106386367767	53.0	150.0	150	45.45454545454545	17234317.0
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_1	65.57126086868774	53.0	150.0	150	36.36363636363637	17225697.0
Heart_11_CKDL190139952-1a-D701-AK1682_H3WF3BBXX_L4_2	63.38410012250119	53.0	150.0	150	45.45454545454545	17225697.0
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_1	63.79182617791147	54.0	150.0	150	36.36363636363637	18570226.0
Heart_12_CKDL190139952-1a-D702-AK1682_H3WF3BBXX_L4_2	62.055679830365676	53.0	150.0	150	45.45454545454545	18570226.0
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_1	64.47232088503648	54.0	150.0	150	36.36363636363637	15965753.0
Heart_13_CKDL190139952-1a-DY0088-AK1682_H3WF3BBXX_L4_2	62.0421657853344	53.0	150.0	150	45.45454545454545	15965753.0
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_1	61.41043147489958	52.0	150.0	150	36.36363636363637	19451060.0
Heart_14_CKDL190139952-1a-D704-AK1682_H3WF3BBXX_L4_2	60.75658686391364	52.0	150.0	150	45.45454545454545	19451060.0
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_1	63.22539374791614	52.0	150.0	150	36.36363636363637	17848563.0
Heart_15_CKDL190139952-1a-D705-AK1682_H3WF3BBXX_L4_2	61.661768798365884	52.0	150.0	150	45.45454545454545	17848563.0
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_1	62.16204044415547	54.0	150.0	150	36.36363636363637	12494532.0
Heart_16_CKDL190139952-1a-D701-AK1780_H3WF3BBXX_L4_2	60.38378352334739	54.0	150.0	150	45.45454545454545	12494532.0
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_1	66.42310236887425	56.0	150.0	150	36.36363636363637	15991144.0
Heart_17_CKDL190139952-1a-D702-AK1780_H3WF3BBXX_L4_2	63.8621175959821	55.0	150.0	150	45.45454545454545	15991144.0
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_1	70.85772493780284	59.0	150.0	150	36.36363636363637	21298940.0
Heart_18_CKDL190139952-1a-DY0088-AK1780_H3WF3BBXX_L4_2	68.01267692287436	59.0	150.0	150	45.45454545454545	21298940.0
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_1	68.60965988447035	57.0	150.0	150	36.36363636363637	19305674.0
Heart_19_CKDL190139952-1a-D704-AK1780_H3WF3BBXX_L4_2	66.83682587234718	57.0	150.0	150	45.45454545454545	19305674.0
Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_1	62.77456880542572	53.0	150.0	150	45.45454545454545	13376043.0
Heart_1_CKDL190139952-1a-D701-AK1680_H3WF3BBXX_L4_2	60.0940247604707	52.0	150.0	150	45.45454545454545	13376043.0
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_1	65.26631876696645	57.0	150.0	150	36.36363636363637	15620283.0
Heart_20_CKDL190139952-1a-D705-AK1780_H3WF3BBXX_L4_2	62.773858812518924	58.0	150.0	150	45.45454545454545	15620283.0
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_1	62.09115014156267	54.0	150.0	150	45.45454545454545	18015767.0
Heart_2_CKDL190139952-1a-D702-AK1680_H3WF3BBXX_L4_2	59.714076680117856	53.0	150.0	150	45.45454545454545	18015767.0
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_1	66.05418423287068	53.0	150.0	150	45.45454545454545	16481842.0
Heart_3_CKDL190139952-1a-DY0088-AK1680_H3WF3BBXX_L4_2	63.20724275064627	52.0	150.0	150	45.45454545454545	16481842.0
