"Gene_ID","Human_Homolog","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"G4P62_000001","EFNB1",871.44204479496,0.671727125179985,0.136277987256153,4.92909485020043,8.26114624129081e-07,2.29069783633507e-05
"G4P62_000002","SPTAN1",19.8689339550326,0.741260588866672,0.191562604726939,3.86954745120163,0.000109037558927938,0.0012282031945223
"G4P62_000003","AR",163.241982472221,-1.36210900667827,0.179754361392751,-7.57761311672515,3.5197010991837e-14,1.39165070682724e-11
"G4P62_000004","MSN",21.4625443174392,-0.324350703165057,0.262799713376357,-1.23421254535599,0.217123713856639,0.374944064586955
"G4P62_000005","ZC4H2",94.0302552445241,-0.163248797648757,0.112107141096058,-1.45618553869711,0.145341336111069,0.284432076617186
"G4P62_000006","ASB12",211.89109306878,-0.409732752524049,0.127570914402078,-3.21180383823739,0.00131904406985587,0.00877350644038355
"G4P62_000007","ARHGEF9",589.191205710274,-0.0227075098960492,0.108655966174404,-0.208985393950677,0.834459640806817,0.9024235319286
"G4P62_000008","SH2D1A",1.64418383501852,-1.91183088604475,0.827122960398896,-2.31142282052324,0.0208095116552512,0.0700573767504366
"G4P62_000009","AGTR2",3.07665066281369,-1.72857471853428,0.593921416183218,-2.91044348870732,0.00360916227859393,0.0189381233252049
"G4P62_000010","APOOL",114.348894276066,0.0904594826254442,0.116477025951503,0.776629398685956,0.437377451531559,0.597201890877427
"G4P62_000011","CNKSR2",2.40061613967581,-0.885688388310893,0.675621685497514,-1.3109235646554,0.189883588622153,0.341896146118366
"G4P62_000012","HDX",78.3487713547101,0.0290115872622384,0.10818707321152,0.268161309859239,0.78857515487469,0.873226277932859
"G4P62_000013","RPS6KA6",186.622451894174,0.373482626085556,0.090178579592734,4.14158914203666,3.44907773288556e-05,0.00049142794913001
"G4P62_000014","POU3F4",32.6842461145189,0.327198180207506,0.206021851876628,1.58817221196246,0.11224740286248,0.237239586073729
"G4P62_000015","TMEM182",1.24153418148316,0.0375138041732511,0.832855866143793,0.0450423725139186,0.964073534826929,0.97868977772448
"G4P62_000016","",8.37078727640666,-0.134261644605478,0.352130374220501,-0.381283906288086,0.702992594266484,0.813528177787734
"G4P62_000017","SH3BGRL",21.6204951947992,-0.423878264744515,0.222724505227737,-1.90315055054718,0.0570209034361466,0.146416513441391
"G4P62_000018","HMGN5",1224.59056103998,-0.00240208768422506,0.0566015889143158,-0.0424385203719522,0.966149121180258,0.979731649789583
"G4P62_000019","TENT5C",5.79050812771675,-0.8632872781675,0.43532058257235,-1.9831069623822,0.0473554830756157,0.12840829554832
"G4P62_000020","TBX22",18.7504560666983,0.473051581334478,0.225125732793287,2.10127725278229,0.0356166353636284,0.104157071859859
