killi_prot	gene_id	ensembl_gene_id	Human_Gene_Symbol
KAF7198666.1	G4P62_019576	ENSG00000196449	YRDC
KAF7198667.1	G4P62_001429	ENSG00000258890	CEP95
KAF7198668.1	G4P62_001429	ENSG00000258890	CEP95
KAF7198669.1	G4P62_001429	ENSG00000258890	CEP95
KAF7198670.1	G4P62_019394	ENSG00000111404	RERGL
KAF7198671.1	G4P62_019953	ENSG00000253953	PCDHGB4
KAF7198672.1	G4P62_019954	ENSG00000253159	PCDHGA12
KAF7198673.1	G4P62_019955	ENSG00000253873	PCDHGA11
KAF7198674.1	G4P62_020166	ENSG00000166199	ALKBH3
KAF7198675.1	G4P62_015434	ENSG00000142684	ZNF593
KAF7198676.1	G4P62_015434	ENSG00000142684	ZNF593
KAF7198677.1	G4P62_015436	ENSG00000164830	OXR1
KAF7198679.1	G4P62_008752	ENSG00000162706	CADM3
KAF7198680.1	G4P62_019275	ENSG00000240303	ACAD11
KAF7198681.1	G4P62_020233	ENSG00000240303	ACAD11
KAF7198682.1	G4P62_019487	ENSG00000117009	KMO
KAF7198683.1	G4P62_019853	ENSG00000117009	KMO
KAF7198684.1	G4P62_014946	ENSG00000011105	TSPAN9
KAF7198685.1	G4P62_014947	ENSG00000126453	BCL2L12
KAF7198686.1	G4P62_014947	ENSG00000126453	BCL2L12
KAF7198687.1	G4P62_014947	ENSG00000126453	BCL2L12
KAF7198688.1	G4P62_014947	ENSG00000126453	BCL2L12
KAF7198689.1	G4P62_014948	ENSG00000142546	NOSIP
KAF7198690.1	G4P62_014949	ENSG00000128595	CALU
KAF7198691.1	G4P62_014949	ENSG00000142552	RCN3
KAF7198693.1	G4P62_004666	ENSG00000280071	GATD3B
KAF7198694.1	G4P62_006631	ENSG00000163141	BNIPL
KAF7198695.1	G4P62_019830	ENSG00000152804	HHEX
KAF7198696.1	G4P62_008461	ENSG00000152954	NRSN1
KAF7198697.1	G4P62_018006	ENSG00000180644	PRF1
KAF7198699.1	G4P62_018914	ENSG00000163618	CADPS
KAF7198700.1	G4P62_019478	ENSG00000163618	CADPS
KAF7198701.1	G4P62_019760	ENSG00000058673	ZC3H11A
KAF7198702.1	G4P62_007539	ENSG00000183020	AP2A2
KAF7198703.1	G4P62_007540	ENSG00000129167	TPH1
KAF7198705.1	G4P62_007542	ENSG00000110651	CD81
KAF7198706.1	G4P62_007543	ENSG00000184363	PKP3
KAF7198707.1	G4P62_007543	ENSG00000184363	PKP3
KAF7198709.1	G4P62_020182	ENSG00000280759	AP2A2
KAF7198710.1	G4P62_001715	ENSG00000165025	SYK
KAF7198711.1	G4P62_019427	ENSG00000174600	CMKLR1
KAF7198712.1	G4P62_019964	ENSG00000105509	HAS1
KAF7198713.1	G4P62_019965	ENSG00000274247	PRSS1
